"Inspection","Permit_ID","Date","Time","Inspection_Type","Critical_Violations","Non_Critical_Violations","Critical_Violations_Corrected_On_Site","Critical_Violations_To_Be_Resolved","Non_Critical_Violations_Corrected_On_Site","Non_Critical_Violations_To_Be_Resolved"
7370,4647,"2010-5-20",": PM","Routine","1","6","1","0","5","0"
7371,1794,"2010-4-7","10:15","Routine","0","1","0","0","1","0"
7373,4758,"2010-4-14","11:30","Preoperational","0","2","0","0","0","0"
7375,4760,"2010-4-19","11:00","Routine","3","3","0","0","0","0"
7377,2855,"2010-4-20","14:30",NULL,"0","1","0","0","0","0"
7378,1729,"2010-6-14","13:15","Routine","0","3","0","0","1","0"
7379,4762,"2010-4-20","13:15","Routine","0","2","0","0","1","0"
7380,3294,"2010-4-22","14:00",NULL,"0","1","0","0","1","0"
7381,3997,"2010-4-23","13:45",NULL,"0","0","0","0","0","0"
7382,1643,"2010-4-23","13:00",NULL,"0","1","0","0","0","0"
7391,3964,"2010-4-23","12:00",NULL,"1","0","1","0","0","0"
7396,4774,"2010-4-23","10:00","Preoperational","0","0","0","0","0","0"
7399,1855,"2010-6-2","10:30","Complaint","2","4","0","0","0","0"
7400,1855,"2010-6-15","14:30","Follow-up","0","0","0","0","0","0"
7401,2584,"2010-4-26","13:30",NULL,"0","4","0","0","2","0"
7403,4778,"2010-4-26","14:25","Follow-up","0","1","0","0","0","0"
7404,2351,"2010-2-18","12:50","Follow-up","1","3","0","0","1","0"
7405,1330,"2010-5-20","14:45","Routine","2","2","2","0","0","0"
7406,4780,"2010-5-6","15:00","Preoperational","1","0","0","0","0","0"
7407,4779,"2010-4-26","11:15",NULL,"0","2","0","0","0","0"
7408,4781,"2010-4-26","10:30",NULL,"1","0","1","0","0","0"
7409,1398,"2010-5-21","23:25","Routine","2","1","0","0","0","0"
7412,4784,"2010-4-30","11:15","Routine","0","1","0","0","0","0"
7415,4356,"2010-6-15","10:45","Follow-up","0","0","0","0","0","0"
7417,1287,"2010-5-25","10:30","Routine","4","3","0","0","1","0"
7420,4785,"2010-5-3","10:15","Follow-up","1","0","0","1","0","0"
7421,1006,"2010-6-21","11:25","Follow-up","0","0","0","0","0","0"
7424,4787,"2010-5-4","14:25","Follow-up","2","1","1","2","0","1"
7426,4789,"2010-5-4","13:35","Follow-up","0","0","0","0","0","0"
7439,798,"2010-5-17","22:15","Routine","4","6","0","0","0","0"
7440,972,"2010-6-22","11:00","Follow-up","0","1","0","0","0","0"
7442,4795,"2010-5-5","09:15","Follow-up","0","0","0","0","0","0"
7445,4797,"2010-5-5","13:10","Follow-up","0","1","0","0","0","1"
7449,1570,"2010-5-6","11:40","Follow-up","0","0","0","0","0","0"
7452,4800,"2010-5-6","13:00","Complaint","2","2","2","0","0","0"
7455,4802,"2010-5-6","13:45","Follow-up","0","0","0","0","0","0"
7456,4803,"2010-5-6","14:45","Complaint","0","2","0","0","0","0"
7458,4805,"2010-5-7","14:10","Follow-up","2","1","0","2","0","1"
7460,4807,"2010-6-25","12:15","Complaint","0","3","0","0","0","0"
7461,1457,"2010-6-25","11:15","Routine","1","1","1","0","1","0"
7462,2151,"2010-6-25","10:00",NULL,"2","1","2","0","0","0"
7463,4395,"2010-6-15","13:45","Routine","2","0","0","0","0","0"
7464,918,"2010-5-19","13:45","Routine","3","11","0","0","1","0"
7468,1641,"2010-5-20","10:30","Complaint","1","4","0","0","1","0"
7469,3584,"2010-4-5","09:45","Routine","0","1","0","0","1","0"
7470,4808,"2010-5-20","11:45","Preoperational","0","2","0","0","1","0"
7473,3708,"2010-4-5","11:00","Follow-up","1","0","0","0","0","0"
7477,1536,"2010-5-21","10:30","Routine","0","2","0","0","1","0"
7479,1309,"2010-5-25","13:15","Routine","2","1","0","0","0","0"
7480,3700,"2010-4-5","12:00","Follow-up","0","1","0","0","1","0"
7497,4319,"2010-6-2","12:15","Complaint","2","0","0","0","0","0"
7500,4319,"2010-6-8","09:30","Follow-up","1","0","0","0","0","0"
7501,3889,"2010-6-28","15:05","Routine","0","6","0","0","1","0"
7508,745,"2010-5-14","10:40","Follow-up","0","0","0","0","0","0"
7509,2188,"2010-6-11","00:15","Routine","0","3","0","0","0","0"
7510,737,"2010-7-23","09:45","Follow-up","0","0","0","0","0","0"
7515,1936,"2010-6-10","14:20",NULL,"0","4","0","0","4","0"
7518,720,"2010-5-14","15:00","Follow-up","0","0","0","0","0","0"
7522,4070,"2010-10-29","11:00","Complaint","2","3","0","0","1","0"
7523,4512,"2010-5-18","14:00","Routine","0","5","0","0","2","0"
7526,984,"2010-7-7","10:10","restoration","0","0","0","0","0","0"
7529,2288,"2010-6-10","11:20","Routine","1","1","1","0","0","0"
7538,4834,"2010-6-11","10:30","Preoperational","0","2","0","0","0","0"
7539,3108,"2010-6-25","14:30","Routine","4","2","0","0","0","0"
7540,3865,"2010-4-6","13:00","Follow-up","0","0","0","0","0","0"
7547,4838,"2010-5-4","14:15","Complaint","2","1","0","0","0","0"
7548,525,"2010-5-26","10:20","Follow-up","1","1","1","0","0","0"
7551,1783,"2010-5-13","14:45","Routine","2","2","0","0","1","0"
7552,2559,"2010-07-07","13:20","Preoperational","2","0","2","0","0","0"
7554,1783,"2010-5-18","15:00","Follow-up","0","0","0","0","0","0"
7556,2240,"2010-7-8","10:15","Preoperational","3","7","0","0","0","0"
7557,3529,"2010-6-4","12:20","Routine","1","2","0","0","0","0"
7558,3354,"2010-6-3","22:30","Routine","0","2","0","0","0","0"
7560,4840,"2010-7-8","11:50","Follow-up","0","0","0","0","0","0"
7561,2488,"2010-6-29","11:50","Follow-up","3","2","1","0","0","0"
7562,3450,"2010-4-9","13:15","Routine","0","5","0","0","3","0"
7563,3740,"2010-4-9","11:15","Routine","0","4","0","0","2","0"
7570,4844,"2010-5-7","12:50","Follow-up","0","0","0","0","0","0"
7573,3888,"2010-4-9","09:45","Routine","0","3","0","0","2","0"
7574,4514,"2010-4-12","13:00","Follow-up","0","0","0","0","0","0"
7575,4122,"2010-4-12","09:45","Preoperational","1","0","1","0","0","0"
7579,3809,"2010-4-13","11:15","Complaint","1","3","1","0","3","0"
7590,2920,"2010-5-26","11:45","Complaint","1","3","0","0","0","0"
7591,1984,"2010-5-26","12:35","Follow-up","0","0","0","0","0","0"
7592,1903,"2010-5-26","12:00","Follow-up","0","0","0","0","0","0"
7594,1953,"2010-5-27","12:00","Routine","1","1","1","0","0","0"
7595,1257,"2010-4-13","09:45","Follow-up","0","0","0","0","0","0"
7596,1641,"2010-5-27","14:40","Follow-up","1","0","1","0","0","0"
7597,1398,"2010-5-27","11:45","Follow-up","0","0","0","0","0","0"
7598,1259,"2010-5-28","14:00","Follow-up","0","0","0","0","0","0"
7599,2440,"2010-5-28","12:00","Follow-up","0","0","0","0","0","0"
7600,2496,"2010-5-28","10:30","Follow-up","0","0","0","0","0","0"
7605,1028,"2010-5-6","13:00","Complaint","1","0","0","0","0","0"
7606,4185,"2010-5-6","14:15","Follow-up","1","1","0","1","0","1"
7609,4264,"2010-6-25","11:00","Follow-up","0","0","0","0","0","0"
7610,832,"2010-5-28","10:30","Follow-up","0","0","0","0","0","0"
7611,1044,"2010-7-11","00:45","Follow-up","0","0","0","0","0","0"
7612,4280,"2010-5-27","11:35","Follow-up","0","0","0","0","0","0"
7614,1987,"2010-6-2","11:45","Follow-up","0","0","0","0","0","0"
7616,2208,"2010-6-3","14:30","Routine","2","0","0","0","0","0"
7620,2992,"2010-7-11","12:30","Routine","3","0","2","0","0","0"
7622,2972,"2010-6-3","11:30","Routine","0","1","0","0","0","0"
7626,2261,"2010-6-7","12:00","Routine","4","1","1","0","0","0"
7649,3108,"2010-5-10","15:00","Follow-up","0","0","0","0","0","0"
7650,3573,"2010-5-10","14:00","Follow-up","0","0","0","0","0","0"
7651,4867,"2010-5-10","13:05","License Renewal","0","0","0","0","0","0"
7652,3324,"2010-5-10","10:25","Complaint","0","2","0","0","0","0"
7653,2511,"2010-7-8","13:40","Follow-up","2","0","0","2","0","0"
7657,3296,"2010-7-8","12:00","Complaint","0","0","0","0","0","0"
7658,3295,"2010-6-7","13:00","Complaint","8","7","0","0","0","0"
7661,4868,"2010-6-16","12:30","Routine","2","0","0","0","0","0"
7663,4869,"2010-7-9","10:30","Complaint","0","0","0","0","0","0"
7664,843,"2010-4-22","15:00","Restoration","0","3","0","0","0","0"
7668,2211,"2010-6-7","11:20","Routine","4","5","0","0","1","0"
7669,4871,"2010-7-12","12:00","License Renewal","1","2","1","0","2","0"
7670,912,"2010-4-26","12:00","Complaint","0","2","0","0","2","0"
7673,4423,"2010-5-19","08:45","Routine","2","4","2","0","4","0"
7675,2541,"2010-7-12","13:30","Routine","0","2","0","0","0","0"
7678,4875,"2010-5-7","12:50","Follow-up","1","1","0","0","0","0"
7680,4093,"2010-5-21","14:30","Routine","3","11","0","0","0","0"
7681,4093,"2010-5-26","14:45","Follow-up","0","0","0","0","0","0"
7682,4093,"2010-7-8","12:35","Follow-up","0","1","0","0","1","1"
7683,4402,"2010-5-19","11:15","Routine","6","9","2","0","0","0"
7690,4877,"2010-4-30","10:45","Follow-up","0","0","0","0","0","0"
7692,2702,"2010-6-7","14:45","Routine","1","1","1","0","0","0"
7693,3785,"2010-4-6","13:30","Follow-up","0","1","0","0","0","0"
7695,4402,"2010-7-13","02:45","Follow-up","0","0","0","0","0","0"
7700,4536,"2010-7-13","15:05","Follow-up","0","0","0","0","0","0"
7701,1139,"2010-5-25","10:30","Follow-up","0","0","0","0","0","0"
7703,1194,"2010-5-18","16:50","Routine","2","4","2","0","4","0"
7705,2448,"2010-6-7","10:30","Routine","1","2","1","0","0","0"
7708,4880,"2010-7-13","13:15","Routine","0","2","0","0","1","0"
7710,4882,"2010-7-13","14:45","License Renewal","0","2","0","0","0","0"
7711,4883,"2010-7-14","14:00","Complaint","0","1","0","0","1","0"
7712,3443,"2010-7-14","12:50","Routine","5","0","0","0","0","0"
7715,4886,"2010-7-15","13:45","Routine","0","1","0","0","0","0"
7716,3492,"2010-7-15","23:30","Routine","2","2","0","0","1","0"
7717,4887,"2010-7-15","12:45","Routine","0","3","0","0","2","0"
7718,4888,"2010-7-15","11:45","Routine","0","3","0","0","1","0"
7721,4498,"2010-7-15","14:00","Preoperational","2","9","0","0","0","0"
7727,3510,"2010-7-14","11:10","Follow-up","0","0","0","0","0","0"
7728,2454,"2010-7-14","14:35","Follow-up","0","0","0","0","0","0"
7729,1672,"2010-6-30","13:10","License Renewal","1","2","1","0","0","0"
7730,4720,"2010-6-30","10:45","Preoperational","2","2","0","0","0","0"
7732,4536,"2010-6-11","11:00","Routine","4","6","0","0","0","0"
7736,4897,"2010-5-11","13:15","License Renewal","0","1","0","0","0","0"
7737,4899,"2010-5-11","11:00","Complaint","1","0","0","0","0","0"
7739,2350,"2010-6-8","11:30","Routine","1","2","0","0","1","0"
7741,2451,"2010-6-8","12:50","Routine","0","2","0","0","0","0"
7743,1860,"2010-6-9","13:00","Routine","1","1","0","0","0","0"
7744,1830,"2010-6-9","10:45","Routine","0","2","0","0","1","0"
7749,1932,"2010-6-9","15:00","Routine","1","2","0","0","0","0"
7750,3592,"2010-7-19","11:30","Routine","1","0","0","0","0","0"
7751,1256,"2010-7-9","14:15","Complaint","3","4","1","0","0","0"
7752,4901,"2010-5-11","10:15","License Renewal","1","2","0","0","0","0"
7753,4902,"2010-5-12","15:00","Follow-up","0","0","0","0","0","0"
7754,4903,"2010-5-12","14:00","Complaint","2","2","2","0","1","0"
7755,4904,"2010-5-12","12:45","Follow-up","0","0","0","0","0","0"
7756,4905,"2010-5-2","11:40","Follow-up","0","0","0","0","0","0"
7757,4906,"2010-5-12","10:25","Follow-up","1","0","0","1","0","0"
7765,2786,"2010-7-9","11:25","Complaint","1","4","0","0","1","0"
7766,4910,"2010-7-20","11:15","Complaint","7","8","3","0","2","0"
7767,3730,"2010-6-28","13:10","Routine","0","4","0","0","0","0"
7768,1256,"2010-7-16","13:50","Follow-up","0","0","0","0","0","0"
7769,3026,"2010-5-26","14:00","Preoperational","0","0","0","0","0","0"
7770,860,"2010-7-14","10:50","Follow-up","0","0","0","0","0","0"
7771,1921,"2010-6-10","10:45","renewal","2","1","1","0","0","0"
7773,1934,"2010-7-16","00:35","Follow-up","0","0","0","0","0","0"
7775,3443,"2010-7-21","10:20","Follow-up","0","0","0","0","0","0"
7780,4911,"2010-7-21","12:30","Complaint","0","1","0","0","0","0"
7781,3507,"2010-7-21","11:15","Routine","5","8","0","0","0","0"
7782,3621,"2010-7-19","10:35","Routine","0","1","0","0","1","0"
7783,2240,"2010-7-19","11:00","Follow-up","0","0","0","0","0","0"
7786,4912,"2010-7-21","10:30","Follow-up","0","1","0","0","1","0"
7789,2084,"2010-7-16","10:30","Routine","1","2","0","0","0","0"
7792,3443,"2010-7-14","12:50","Routine","5","0","0","0","0","0"
7816,3492,"2010-7-23","10:25","Follow-up","0","0","0","0","0","0"
7821,2211,"2010-6-16","11:30","Follow-up","1","0","1","0","0","0"
7822,1024,"2010-7-23","13:40","Follow-up","0","0","0","0","0","0"
7823,1860,"2010-6-17","13:45","Follow-up","0","0","0","0","0","0"
7824,2261,"2010-6-15","11:45","Follow-up","0","0","0","0","0","0"
7825,4919,"2010-7-23","12:30","Routine","2","0","0","0","0","0"
7826,1195,"2010-7-23","11:40","Complaint","4","0","0","0","0","0"
7827,3985,"2010-6-17","10:40","Routine","2","6","0","0","3","0"
7828,4921,"2010-6-28","14:30","Routine","1","1","0","0","0","0"
7829,4921,"2010-7-8","14:50","Follow-up","0","0","0","0","0","0"
7830,4922,"2010-7-2","10:15","Preoperational","1","1","0","0","1","0"
7831,4923,"2010-7-2","11:00","License Renewal","0","5","0","0","0","0"
7832,4924,"2010-6-27","18:15","Complaint","1","1","0","0","0","0"
7833,4924,"2010-7-2","11:50","Follow-up","0","1","0","0","0","0"
7834,4925,"2010-6-30","12:00","Complaint","0","2","0","0","2","0"
7837,3985,"2010-6-25","12:10","Follow-up","0","0","0","0","0","0"
7838,2341,"2010-6-18","10:30","Routine","1","4","1","0","1","0"
7840,2263,"2010-6-22","00:15","Follow-up","0","0","0","0","0","0"
7849,3834,"2010-6-17","12:50","Routine","2","4","0","0","0","0"
7851,3834,"2010-6-25","13:10","Follow-up","0","0","0","0","0","0"
7864,2149,"2010-6-22","13:45","Routine","2","1","0","0","0","0"
7878,3064,"2010-6-10","11:15","Routine","2","1","2","0","0","0"
7881,2279,"2010-6-11","10:30","Routine","5","1","0","0","0","0"
7882,2448,"2010-6-15","13:20","Follow-up","0","0","0","0","0","0"
7884,1932,"2010-6-16","14:30","Follow-up","0","0","0","0","0","0"
7889,4151,"2010-6-18","13:40","Routine","0","1","0","0","1","0"
7897,4949,"2010-7-26","12:00","Follow-up","0","0","0","0","0","0"
7898,4950,"2010-7-26","13:00","Follow-up","0","0","0","0","0","0"
7918,4958,"2010-7-26","13:45","Follow-up","0","0","0","0","0","0"
7919,4959,"2010-7-14","12:45","Preoperational","0","0","0","0","0","0"
7923,4152,"2010-6-18","15:40","Routine","0","0","0","0","0","0"
7931,3654,"2010-3-18","08:00","Routine","6","7","1","0","2","0"
7935,4971,"2010-7-20","12:30","Routine","0","1","0","0","0","0"
7941,4976,"2010-7-21","13:00","Preoperational","1","1","0","0","0","0"
7942,4976,"2010-7-23","10:15","Follow-up","0","0","0","0","0","0"
7944,3683,"2010-3-18","11:00","Routine","6","1","1","0","0","0"
7946,4978,"2010-7-21","13:15","Routine","0","2","0","0","1","0"
7947,2471,"2010-7-26","11:00","Complaint","3","6","0","0","0","0"
7949,4980,"2010-7-22","14:15","Routine","1","0","1","0","0","0"
7960,4985,"2010-6-21","15:00","Routine","0","1","0","0","0","0"
7961,4985,"2010-7-22","15:15","Complaint","0","2","0","0","0","0"
7962,4987,"2010-7-23","11:45","Preoperational","0","0","0","0","0","0"
7965,4409,"2010-5-19","15:35","Routine","1","2","1","0","2","0"
7966,757,"2010-5-17","15:30","Routine","1","4","1","0","4","0"
7967,4988,"2010-7-27","10:30","Routine","0","5","0","0","1","0"
7971,913,"2010-7-28","10:55","License Restoration","0","0","0","0","0","0"
7972,4256,"2010-7-23","11:20","Complaint","1","4","0","0","0","0"
7974,1880,"2010-7-23","11:15","Routine","2","1","0","0","0","0"
7983,4620,"2010-7-28","16:15","Complaint","2","6","1","0","2","0"
7985,4995,"2010-7-28","13:05","Routine","2","4","1","0","3","0"
7986,2084,"2010-7-28","23:00","Follow-up","0","1","0","0","0","0"
7993,3741,"2010-7-28","14:05","Routine","0","1","0","0","1","0"
7997,3888,"2010-7-15","14:25","Routine","2","1","0","0","0","0"
7999,5000,"2010-7-29","10:45","License Renewal","4","3","3","0","3","0"
8000,3813,"2010-9-16","13:15","Complaint","0","3","0","0","0","0"
8003,1024,"2010-6-18","12:30","Routine","5","3","0","0","0","0"
8015,1782,"2010-6-1","12:05","Follow-up","0","0","0","0","0","0"
8017,5002,"2010-7-29","13:15","Routine","2","3","2","0","0","0"
8019,1880,"2010-7-27","15:00","Follow-up","0","0","0","0","0","0"
8020,1736,"2010-6-25","12:00","Routine","5","5","0","0","1","0"
8021,5008,"2009-11-4","12:30","License Renewal","1","0","0","0","0","0"
8022,5008,"2010-4-19","10:45","Routine","0","0","0","0","0","0"
8030,4108,"2010-7-29","13:30","Complaint","5","14","0","0","0","0"
8035,5012,"2009-12-3","10:00","Routine","0","0","0","0","0","0"
8036,5012,"2010-4-27","13:35","Routine","1","0","0","0","0","0"
8046,4437,"2010-5-13","13:00","Follow-up","0","0","0","0","0","0"
8048,1530,"2010-5-13","15:15","Routine","0","6","0","0","5","0"
8049,4216,"2010-5-26","10:45","Preoperational","0","2","0","0","0","0"
8052,5017,"2009-12-3","10:45","Routine","0","0","0","0","0","0"
8053,5017,"2010-4-21","10:40","Routine","0","0","0","0","0","0"
8059,5020,"2010-7-29","11:30","Routine","1","0","1","0","0","0"
8060,4091,"2010-5-26","14:00","Follow-up","0","0","0","0","0","0"
8063,5022,"2009-12-9","11:20","Routine","0","0","0","0","0","0"
8065,798,"2010-5-25","12:00","Follow-up","0","0","0","0","0","0"
8067,5022,"2010-5-7","12:45","Routine","0","2","0","0","0","0"
8068,5024,"2010-7-19","14:00","Routine","0","1","0","0","0","0"
8069,4435,"2010-5-26","11:45","Follow-up","0","0","0","0","0","0"
8074,5028,"2010-5-14","11:00","Change of ownership","1","2","0","0","0","0"
8078,984,"2010-6-21","14:00","Complaint","4","4","0","0","0","0"
8079,5030,"2010-5-14","13:30","Follow-up","0","1","0","0","0","1"
8080,5031,"2010-5-14","14:15","Routine","0","1","0","0","1","0"
8081,5029,"2010-7-27","11:00","Preoperational","0","5","0","0","0","0"
8082,5029,"2010-7-29","11:30","Follow-up","0","1","0","0","1","0"
8086,3856,"2010-7-29","11:30","Routine","6","4","1","0","1","0"
8087,3108,"2010-6-30","14:00","Follow-up","0","0","0","0","0","0"
8089,4498,"2010-8-2","13:45","Preoperational - Follow-up","0","0","0","0","0","0"
8090,2268,"2010-7-22","10:30","Routine","4","2","4","0","0","0"
8095,1623,"2010-8-2","11:45","Complaint","0","1","0","0","1","0"
8096,1991,"2010-8-2","16:10","Routine","1","1","0","0","0","0"
8098,5036,"2010-8-2","11:00","Complaint","5","6","1","0","2","0"
8099,520,"2010-6-7","15:00","Complaint","4","4","0","0","0","0"
8102,1633,"2010-5-17","14:30","License Renewal","1","0","0","0","0","0"
8104,5042,"2010-5-25","13:00","Routine","0","1","0","0","0","0"
8105,3592,"2010-8-2","11:10","Follow-up","0","0","0","0","0","0"
8106,1195,"2010-8-2","08:20","Follow-up","0","0","0","0","0","0"
8107,5043,"2010-8-2","10:35","Routine","1","0","0","0","0","0"
8108,2214,"2010-8-2","00:45","License Renewal","0","0","0","0","0","0"
8112,1719,"2010-8-2","13:30","License Renewal","0","1","0","0","0","0"
8114,2172,"2010-4-13","16:15","License Renewal","2","6","2","0","2","0"
8115,1741,"2010-7-30","11:30","Routine","0","1","0","0","0","0"
8116,1328,"2010-8-2","14:30","Routine","1","2","1","0","0","0"
8117,3888,"2010-7-26","00:10","Follow-up","0","0","0","0","0","0"
8120,3801,"2010-7-15","11:00","Routine","3","2","0","0","0","0"
8121,3801,"2010-7-21","12:45","Follow-up","0","0","0","0","0","0"
8122,4000,"2010-6-16","14:30","Routine","3","2","0","0","0","0"
8125,4000,"2010-7-13","13:40","Follow-up","0","0","0","0","0","0"
8128,1479,"2010-7-22","10:30","Routine","3","3","0","0","0","0"
8138,882,"2010-8-3","15:45","License Renewal","1","2","1","0","2","0"
8141,5053,"2010-8-3","11:00","Follow-up","0","0","0","0","0","0"
8142,5054,"2010-8-3","14:15","License Renewal","1","5","1","0","3","0"
8149,2409,"2010-08-02","24:55","ownership change","1","0","1","0","0","0"
8151,4591,"2010-6-1","10:45","Routine","1","0","1","0","0","0"
8152,1179,"2010-8-2","10:45","Complaint","0","4","0","0","3","0"
8157,5056,"2010-7-15","10:50","Routine","4","0","0","0","0","0"
8164,5058,"2010-8-4","12:15","Complaint","1","1","1","0","0","0"
8166,4108,"2010-8-4","10:50","Follow-up","0","0","0","0","0","0"
8170,4624,"2010-8-4","11:45","Complaint","4","2","2","0","0","0"
